City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bluff,0,AU,1569382354,33,-23.58,149.07,82.43,11.16
dikson,100,RU,1569382354,89,73.51,80.55,36.35,15.64
rikitea,0,PF,1569382354,65,-23.12,-134.97,71.09,3.18
ewa beach,40,US,1569382354,58,21.32,-158.01,86.0,10.29
emerald,40,AU,1569382354,37,-23.53,148.16,84.0,10.29
punta arenas,75,CL,1569382354,71,-53.16,-70.91,50.0,25.28
thompson,90,CA,1569382355,87,55.74,-97.86,46.4,17.22
arkhangelsk,75,RU,1569382355,93,64.54,40.54,39.2,8.95
dingle,26,PH,1569382355,68,11.0,122.67,86.39,9.04
qaanaaq,76,GL,1569382355,86,77.48,-69.36,19.79,7.2
albany,75,US,1569382355,72,42.65,-73.75,60.8,5.82
new norfolk,75,AU,1569382274,47,-42.78,147.06,57.0,8.05
mataura,100,NZ,1569382355,92,-46.19,168.86,39.0,8.99
kruisfontein,3,ZA,1569382355,84,-34.0,24.73,46.43,8.46
samarai,41,PG,1569382355,72,-10.62,150.67,79.91,9.86
aneho,40,TG,1569382356,88,6.23,1.6,78.8,6.93
gladstone,76,AU,1569382297,57,-23.84,151.26,78.01,16.11
karratha,99,AU,1569382356,17,-20.74,116.85,87.65,5.99
lebu,100,ET,1569382265,91,8.96,38.73,55.79,1.5
bluefields,33,NI,1569382356,97,12.01,-83.77,75.77,2.59
constitucion,90,MX,1569382356,67,23.99,-104.67,62.6,3.36
fairbanks,90,US,1569382356,83,64.84,-147.72,44.6,9.17
jamestown,15,AU,1569382356,36,-33.21,138.6,67.31,7.76
east london,0,ZA,1569382195,81,-33.02,27.91,50.0,6.93
pevek,100,RU,1569382356,79,69.7,170.27,35.27,13.29
port lincoln,62,AU,1569382357,72,-34.72,135.86,58.31,10.13
correntina,0,BR,1569382357,63,-13.34,-44.63,67.13,7.07
alofi,40,NU,1569382357,61,-19.06,-169.92,78.8,13.87
arraial do cabo,70,BR,1569382357,73,-22.97,-42.02,67.31,20.04
saint-philippe,90,CA,1569382247,100,45.36,-73.48,57.99,3.36
atuona,22,PF,1569382242,76,-9.8,-139.03,79.73,15.88
tuatapere,100,NZ,1569382357,92,-46.13,167.69,39.0,8.99
namibe,84,AO,1569382357,91,-15.19,12.15,68.93,1.7
codrington,40,AU,1569382358,47,-28.95,153.24,77.0,5.82
leningradskiy,100,RU,1569382358,97,69.38,178.42,34.19,6.62
ushuaia,40,AR,1569382235,70,-54.81,-68.31,42.8,3.15
kapaa,40,US,1569382252,70,22.08,-159.32,84.2,5.28
barrow,9,AR,1569382358,54,-38.31,-60.23,51.83,1.59
zhigansk,79,RU,1569382358,60,66.77,123.37,42.65,13.11
grindavik,75,IS,1569382358,87,63.84,-22.43,51.8,12.75
gorom-gorom,42,BF,1569382358,43,14.45,-0.24,87.29,11.07
karaton,20,ID,1569382358,58,-6.34,106.1,91.0,5.82
rajgir,90,IN,1569382358,88,25.03,85.42,78.8,11.41
pula,0,EC,1569382359,78,-1.95,-79.93,73.99,10.29
puerto ayora,100,EC,1569382359,96,-0.74,-90.35,66.99,3.0
hermanus,0,ZA,1569382359,83,-34.42,19.24,55.99,11.01
sobolevo,23,RU,1569382359,86,54.43,31.9,32.75,1.3
le port,100,FR,1569382359,88,42.87,1.37,60.01,3.0
saint anthony,1,US,1569382359,51,43.97,-111.68,62.6,10.29
ust-kut,0,RU,1569382359,55,56.78,105.75,55.79,4.52
udachnyy,75,RU,1569382360,88,66.42,112.4,41.0,6.71
nanortalik,0,GL,1569382360,77,60.14,-45.24,41.93,1.5
mandiana,99,GN,1569382360,91,10.62,-8.7,72.53,2.13
san patricio,0,PY,1569382360,77,-26.98,-56.83,64.07,5.84
khatanga,94,RU,1569382360,82,71.98,102.47,38.33,12.91
morro bay,1,US,1569382360,68,35.37,-120.85,75.2,5.19
upernavik,100,GL,1569382306,84,72.79,-56.15,35.99,11.41
salinopolis,33,BR,1569382360,81,-0.61,-47.36,80.81,17.05
barcelos,22,BR,1569382361,82,-0.97,-62.93,76.85,2.8
avarua,59,CK,1569382241,69,-21.21,-159.78,73.4,10.29
port alfred,70,ZA,1569382307,78,-33.59,26.89,52.0,5.01
punta alta,0,AR,1569382361,77,-27.46,-55.82,66.2,2.24
vaini,75,IN,1569382229,94,15.34,74.49,75.2,1.95
gamba,5,CN,1569382361,21,28.28,88.52,44.27,3.78
montepuez,58,MZ,1569382361,84,-13.13,39.0,64.97,4.52
cuenca,60,EC,1569382361,93,-2.9,-79.0,53.6,2.39
bystrzyca klodzka,100,PL,1569382361,80,50.3,16.64,57.99,3.29
rocha,0,UY,1569382361,84,-34.48,-54.34,51.65,2.24
tawang,93,BT,1569382361,83,27.59,91.87,60.65,3.04
busselton,80,AU,1569382362,43,-33.64,115.35,68.0,12.3
bathsheba,40,BB,1569382362,83,13.22,-59.52,82.4,11.41
westport,1,US,1569382362,67,41.14,-73.36,66.0,3.24
aviles,20,ES,1569382362,67,43.55,-5.92,64.99,6.93
mimongo,100,GA,1569382362,97,-1.62,11.6,68.93,4.12
mayya,0,RU,1569382362,45,61.74,130.28,48.2,6.71
nikolskoye,0,RU,1569382362,80,59.7,30.79,39.99,4.47
porto novo,75,BR,1569382363,87,-23.68,-45.44,60.8,11.41
codajas,69,BR,1569382221,84,-3.84,-62.06,75.41,2.28
tiksi,35,RU,1569382065,82,71.64,128.87,36.17,14.63
mar del plata,18,AR,1569382322,55,-46.43,-67.52,57.23,17.38
kozhva,100,RU,1569382363,96,65.11,57.05,34.01,10.69
aripuana,100,BR,1569382363,75,-9.17,-60.63,76.49,4.5
halmstad,100,SE,1569382363,87,56.67,12.86,53.6,6.93
mitu,0,IR,1569382363,62,36.2,46.09,43.55,2.68
camacha,75,PT,1569382363,88,33.08,-16.33,75.2,5.82
mahebourg,40,MU,1569382320,88,-20.41,57.7,73.4,9.17
tynda,20,RU,1569382363,54,55.15,124.74,48.41,4.94
hilo,1,US,1569382364,65,19.71,-155.08,82.4,8.05
airai,29,TL,1569382364,39,-8.93,125.41,92.69,1.81
teguise,19,ES,1569382364,83,29.06,-13.56,71.6,17.22
sembakung,42,ID,1569382364,53,3.82,117.25,90.71,2.3
esperance,0,AU,1569382364,37,-33.86,121.89,71.6,10.29
katsuura,75,JP,1569382278,61,33.93,134.5,77.0,9.17
visnes,100,NO,1569382364,71,59.36,5.22,57.2,9.17
fountain hills,1,US,1569382275,44,33.61,-111.72,82.4,3.36
te anau,99,NZ,1569382364,66,-45.41,167.72,38.87,14.05
bilma,0,NE,1569382365,13,18.69,12.92,83.69,4.65
maur,0,IN,1569382365,59,30.07,75.23,84.59,8.59
butaritari,67,KI,1569382365,70,3.07,172.79,85.49,11.34
chokurdakh,0,RU,1569382365,52,70.62,147.9,34.19,7.63
santiago del estero,0,AR,1569382365,60,-27.8,-64.26,58.67,2.28
kattivakkam,75,IN,1569382365,94,13.22,80.32,80.6,4.7
boppard,40,DE,1569382365,100,50.23,7.59,59.0,9.17
lubumbashi,3,CD,1569382366,43,-11.66,27.48,64.43,9.95
bredasdorp,0,ZA,1569382366,66,-34.53,20.04,55.4,13.87
kloulklubed,75,PW,1569382366,70,7.04,134.26,87.8,8.05
palmer,20,AU,1569382366,62,-34.85,139.16,66.99,11.41
kaitangata,100,NZ,1569382366,70,-46.28,169.85,42.01,10.0
sioux lookout,90,CA,1569382107,100,50.1,-91.92,50.0,4.29
guderup,100,DK,1569382366,93,54.99,9.87,59.0,11.41
gotsu,75,JP,1569382366,60,35.01,132.22,71.6,5.82
ponta do sol,15,BR,1569382367,74,-20.63,-46.0,66.05,4.0
ikalamavony,0,MG,1569382367,83,-21.17,46.6,62.27,4.56
cabo san lucas,5,MX,1569382323,78,22.89,-109.91,80.6,11.41
hofn,100,IS,1569382367,99,64.25,-15.21,39.95,2.44
zafra,2,ES,1569382367,90,38.43,-6.42,60.01,3.0
port elizabeth,1,US,1569382367,82,39.31,-74.98,68.0,3.6
bonthe,54,SL,1569382367,91,7.53,-12.5,76.49,5.46
hobart,75,AU,1569382182,47,-42.88,147.33,57.0,8.05
saskylakh,13,RU,1569382367,81,71.97,114.09,37.97,14.88
darnah,2,LY,1569382368,86,32.77,22.64,76.49,16.91
ilulissat,16,GL,1569382368,86,69.22,-51.1,37.4,3.36
taganak,75,PH,1569382368,66,6.08,118.3,87.8,4.7
kirakira,100,SB,1569382282,88,-10.46,161.92,78.47,13.13
